Posizionamento_Disciplina,Squadra,Punti,anno,disciplina,PtTotaliOlimpiade,Posizionamento_Olimpiade
50,ODABELLA,10,2025,Calciobalilla,273,83
51,AMELIA,10,2025,Calciobalilla,318,42
52,RAMFIS,10,2025,Calciobalilla,403,7
53,RADAMÈS,10,2025,Calciobalilla,291,69
54,SELIMO,10,2025,Calciobalilla,323,38
55,MACBETH,8,2025,Calciobalilla,361,17
56,BARDOLFO,8,2025,Calciobalilla,248,97
57,ATTILA,8,2025,Calciobalilla,268,86
58,PIRRO,8,2025,Calciobalilla,233,103
59,FENTON,8,2025,Calciobalilla,266,89
60,RE CARLO,8,2025,Calciobalilla,244,99
61,ROLLA,8,2025,Calciobalilla,265,90
62,GUY DE MONTFORT,8,2025,Calciobalilla,350,24
63,PREZIOSILLA,8,2025,Calciobalilla,241,101
64,AROLDO,8,2025,Calciobalilla,320,41
65,GASTONE,8,2025,Calciobalilla,355,22
66,CONTE DI WALTER,8,2025,Calciobalilla,396,8
67,AMONASRO,8,2025,Calciobalilla,297,64
68,IMELDA,8,2025,Calciobalilla,286,72
69,RENATO,8,2025,Calciobalilla,271,84
70,PAGANO,8,2025,Calciobalilla,392,10
71,OSCAR,8,2025,Calciobalilla,275,81
72,AZUCENA,8,2025,Calciobalilla,337,30
73,ELENA,8,2025,Calciobalilla,382,15
74,EMILIA,8,2025,Calciobalilla,277,80
75,LIDA,8,2025,Calciobalilla,277,78
76,ABDALLO,8,2025,Calciobalilla,281,75
77,CALATRAVA,8,2025,Calciobalilla,259,92
78,MANRICO,8,2025,Calciobalilla,256,93
79,ULRICA,8,2025,Calciobalilla,326,37
80,AIDA,8,2025,Calciobalilla,308,48
81,GILDA,8,2025,Calciobalilla,315,45
82,FRA MELITONE,6,2025,Calciobalilla,144,108
83,ABIGAILLE,6,2025,Calciobalilla,385,13
84,EZIO,6,2025,Calciobalilla,394,9
85,FERRANDO,6,2025,Calciobalilla,267,87
86,STANKAR,6,2025,Calciobalilla,282,74
87,ARVINO,6,2025,Calciobalilla,438,5
88,MASSIMILIANO,6,2025,Calciobalilla,247,98
89,DOROTEA,6,2025,Calciobalilla,301,54
90,GULNARA,6,2025,Calciobalilla,338,29
91,GUSMANO,6,2025,Calciobalilla,266,88
92,SPARAFUCILE,6,2025,Calciobalilla,362,16
93,RUY GOMEZ,6,2025,Calciobalilla,261,91
94,OVANDO,6,2025,Calciobalilla,312,47
95,MOSER,6,2025,Calciobalilla,230,104
96,ELISABETTA DI VALOIS,6,2025,Calciobalilla,287,71
97,ARMINIO,6,2025,Calciobalilla,225,105
98,ISMAELE,6,2025,Calciobalilla,280,76
99,LINA,6,2025,Calciobalilla,301,56
100,MINA,6,2025,Calciobalilla,349,25
101,GISELDA,6,2025,Calciobalilla,358,19
102,ULDINO,6,2025,Calciobalilla,248,96
103,WURM,6,2025,Calciobalilla,298,62
104,NINETTA,6,2025,Calciobalilla,213,107
105,RIGOLETTO,6,2025,Calciobalilla,271,85
106,GODVINO,6,2025,Calciobalilla,275,82
107,VICLINDA,6,2025,Calciobalilla,251,95
108,DUNCANO,6,2025,Calciobalilla,343,28
1,ABIGAILLE,30,2025,Canotto Race,385,13
2,MACBETH,25,2025,Canotto Race,361,17
3,IAGO,21,2025,Canotto Race,479,1
4,GISELDA,18,2025,Canotto Race,358,19
5,EZIO,16,2025,Canotto Race,394,9
6,MARCOVALDO,16,2025,Canotto Race,451,4
7,GULNARA,16,2025,Canotto Race,338,29
8,RAMFIS,16,2025,Canotto Race,403,7
9,ALFREDO,14,2025,Canotto Race,470,2
10,MALCOLM,14,2025,Canotto Race,360,18
11,AROLDO,14,2025,Canotto Race,320,41
12,CONTE DI WALTER,14,2025,Canotto Race,396,8
13,ELVIRA,14,2025,Canotto Race,279,77
14,STIFFELIO,14,2025,Canotto Race,307,49
15,AMELIA,14,2025,Canotto Race,318,42
16,CONTE RICCARDO,14,2025,Canotto Race,329,33
17,MACDUFF,10,2025,Canotto Race,355,23
18,NABUCODONOSOR,10,2025,Canotto Race,328,34
19,STANKAR,10,2025,Canotto Race,282,74
